theme,Priority_Score,Reach,Impact,Confidence,Effort,Is_Regression,Is_Persistent
UI & Content Surfaces,0.20394052001501212,0.4962260088664165,0.8269565217391305,0.9939655172413793,2,False,True
Free vs Premium Friction,0.20271578940020638,0.49415561614819525,0.8279475982532751,0.9909482758620689,2,False,True
Navigation & Home Feed,0.13834261214291746,0.500709610252057,0.8288793103448275,1.0,3,False,True
Library & Playlist Control,0.13702564540305748,0.49841000993230233,0.8272727272727273,0.9969827586206896,3,False,True
Performance & Media Issues,0.10338571925067966,0.5004796424863366,0.8262931034482759,1.0,4,False,True
Playback Reliability,0.10197026000750606,0.4962260088664165,0.8269565217391305,0.9939655172413793,4,False,True
